group,met,tdt,bif,frog weight,sample_id,pesticide,rate,conc
bif,-1,-1,1,2.39935,BIF 10 1,bif,1/10th Max,0.081060634
bif,-1,-1,1,3.20152,BIF 10 2,bif,1/10th Max,0.19270545
bif,-1,-1,1,2.40548,BIF 10 3,bif,1/10th Max,0.049910621
bif,-1,-1,1,3.6387,BIF 10 4,bif,1/10th Max,0.100211894
bif,-1,-1,1,2.90056,BIF 10 5,bif,1/10th Max,0.046218882
bif,-1,-1,1,6.34508,BIF 10 6,bif,1/10th Max,0.092611871
bif,-1,-1,1,3.80297,BIF 10 7,bif,1/10th Max,0.078083256
bif,-1,-1,1,3.75487,BIF 10 8,bif,1/10th Max,0.064304246
bif,-1,-1,1,3.60502,BIF MAX 1,bif,Maximum,0.36026833
bif,-1,-1,1,3.30725,BIF MAX 2,bif,Maximum,0.407255463
bif,-1,-1,1,2.89452,BIF MAX 3,bif,Maximum,0.212162205
bif,-1,-1,1,2.97219,BIF MAX 4,bif,Maximum,0.286703293
bif,-1,-1,1,3.55775,BIF MAX 5,bif,Maximum,0.482244063
bif,-1,-1,1,2.5769,BIF MAX 6,bif,Maximum,0.255883703
bif,-1,-1,1,2.21972,BIF MAX 7,bif,Maximum,0.60898339
bif,-1,-1,1,2.96399,BIF MAX 8,bif,Maximum,0.321041436
bifmet,1,-1,1,4.12784,MB 10 1,bif,1/10th Max,0.013397563
bifmet,1,-1,1,6.73861,MB 10 2,bif,1/10th Max,0.011975429
bifmet,1,-1,1,2.49055,MB 10 3,bif,1/10th Max,0.069767144
bifmet,1,-1,1,3.56468,MB 10 4,bif,1/10th Max,0.050779401
bifmet,1,-1,1,3.52853,MB 10 5,bif,1/10th Max,0.030067637
bifmet,1,-1,1,2.63626,MB 10 6,bif,1/10th Max,0.018037382
bifmet,1,-1,1,4.50144,MB 10 7,bif,1/10th Max,0.059879811
bifmet,1,-1,1,3.68372,MB 10 8,bif,1/10th Max,0.058723246
bifmet,1,-1,1,3.0214,MB MAX 1,bif,Maximum,0.463968335
bifmet,1,-1,1,2.84461,MB MAX 2,bif,Maximum,0.149362144
bifmet,1,-1,1,2.1484,MB MAX 3,bif,Maximum,0.574975074
bifmet,1,-1,1,3.1128,MB MAX 4,bif,Maximum,0.705510327
bifmet,1,-1,1,3.14163,MB MAX 5,bif,Maximum,0.611656036
bifmet,1,-1,1,2.44937,MB MAX 6,bif,Maximum,0.001061006
bifmet,1,-1,1,2.68341,MB MAX 7,bif,Maximum,0.552404551
bifmet,1,-1,1,2.4111,MB MAX 8,bif,Maximum,0.62657505
bifmet,1,-1,1,4.12784,MB 10 1,met,1/10th Max,0.045959582
bifmet,1,-1,1,6.73861,MB 10 2,met,1/10th Max,0.085769975
bifmet,1,-1,1,2.49055,MB 10 3,met,1/10th Max,0.150177434
bifmet,1,-1,1,3.56468,MB 10 4,met,1/10th Max,0.177314424
bifmet,1,-1,1,3.52853,MB 10 5,met,1/10th Max,0.160823035
bifmet,1,-1,1,2.63626,MB 10 6,met,1/10th Max,0.05389036
bifmet,1,-1,1,4.50144,MB 10 7,met,1/10th Max,0.14783611
bifmet,1,-1,1,3.68372,MB 10 8,met,1/10th Max,0.270763369
bifmet,1,-1,1,3.0214,MB MAX 1,met,Maximum,3.623175086
bifmet,1,-1,1,2.84461,MB MAX 2,met,Maximum,0.362472922
bifmet,1,-1,1,2.1484,MB MAX 3,met,Maximum,3.434281439
bifmet,1,-1,1,3.1128,MB MAX 4,met,Maximum,3.511136898
bifmet,1,-1,1,3.14163,MB MAX 5,met,Maximum,2.03575044
bifmet,1,-1,1,2.44937,MB MAX 6,met,Maximum,2.608922206
bifmet,1,-1,1,2.68341,MB MAX 7,met,Maximum,5.165929832
bifmet,1,-1,1,2.4111,MB MAX 8,met,Maximum,4.17662374
met,1,-1,-1,3.78497,MET 10 1,met,1/10th Max,0.152944737
met,1,-1,-1,3.18725,MET 10 2,met,1/10th Max,0.206513977
met,1,-1,-1,2.49189,MET 10 3,met,1/10th Max,0.07558169
met,1,-1,-1,4.2446,MET 10 4,met,1/10th Max,0.137271461
met,1,-1,-1,2.30381,MET 10 5,met,1/10th Max,0.13055497
met,1,-1,-1,3.20917,MET 10 6,met,1/10th Max,0.130384165
met,1,-1,-1,3.55455,MET 10 7,met,1/10th Max,0.36881986
met,1,-1,-1,3.70742,MET 10 8,met,1/10th Max,0.103876029
met,1,-1,-1,2.82174,MET MAX 1,met,Maximum,5.36222537
met,1,-1,-1,3.44297,MET MAX 2,met,Maximum,12.89730323
met,1,-1,-1,2.85755,MET MAX 3,met,Maximum,2.036386907
met,1,-1,-1,3.25947,MET MAX 4,met,Maximum,4.624100901
met,1,-1,-1,3.07982,MET MAX 5,met,Maximum,2.035236939
met,1,-1,-1,4.0735,MET MAX 6,met,Maximum,19.87978305
met,1,-1,-1,4.76735,MET MAX 7,met,Maximum,4.015917523
met,1,-1,-1,3.46513,MET MAX 8,met,Maximum,9.393892544
biftdt,-1,1,1,3.06037,TB 10 1,tdt,1/10th Max,0.042048529
biftdt,-1,1,1,3.02731,TB 10 2,tdt,1/10th Max,0.04680927
biftdt,-1,1,1,3.28759,TB 10 3,tdt,1/10th Max,0.043004273
biftdt,-1,1,1,2.56017,TB 10 4,tdt,1/10th Max,0.056833005
biftdt,-1,1,1,3.71079,TB 10 5,tdt,1/10th Max,0.056626619
biftdt,-1,1,1,4.16573,TB 10 6,tdt,1/10th Max,0.037372302
biftdt,-1,1,1,3.22551,TB 10 7,tdt,1/10th Max,0.087897493
biftdt,-1,1,1,1.0121,TB 10 8,tdt,1/10th Max,0.108863627
biftdt,-1,1,1,2.71935,TB MAX 1,tdt,Maximum,0.370377692
biftdt,-1,1,1,3.85382,TB MAX 2,tdt,Maximum,0.673547062
biftdt,-1,1,1,2.55504,TB MAX 3,tdt,Maximum,0.516990209
biftdt,-1,1,1,4.36943,TB MAX 4,tdt,Maximum,0.191693179
biftdt,-1,1,1,4.04797,TB MAX 5,tdt,Maximum,0.346274927
biftdt,-1,1,1,4.62295,TB MAX 6,tdt,Maximum,0.601484781
biftdt,-1,1,1,3.25703,TB MAX 7,tdt,Maximum,0.23377432
biftdt,-1,1,1,3.96452,TB MAX 8,tdt,Maximum,0.368922939
biftdt,-1,1,1,3.06037,TB 10 1,bif,1/10th Max,0.036906396
biftdt,-1,1,1,3.02731,TB 10 2,bif,1/10th Max,0.035189166
biftdt,-1,1,1,3.28759,TB 10 3,bif,1/10th Max,0.066427585
biftdt,-1,1,1,2.56017,TB 10 4,bif,1/10th Max,0.053775567
biftdt,-1,1,1,3.71079,TB 10 5,bif,1/10th Max,0.053872147
biftdt,-1,1,1,4.16573,TB 10 6,bif,1/10th Max,0.04661666
biftdt,-1,1,1,3.22551,TB 10 7,bif,1/10th Max,0.11521122
biftdt,-1,1,1,1.0121,TB 10 8,bif,1/10th Max,0.078742028
biftdt,-1,1,1,2.71935,TB MAX 1,bif,Maximum,0.597884814
biftdt,-1,1,1,3.85382,TB MAX 2,bif,Maximum,0.832001609
biftdt,-1,1,1,2.55504,TB MAX 3,bif,Maximum,0.869713574
biftdt,-1,1,1,4.36943,TB MAX 4,bif,Maximum,0.327463403
biftdt,-1,1,1,4.04797,TB MAX 5,bif,Maximum,0.462215292
biftdt,-1,1,1,4.62295,TB MAX 6,bif,Maximum,1.027084129
biftdt,-1,1,1,3.25703,TB MAX 7,bif,Maximum,0.494584378
biftdt,-1,1,1,3.96452,TB MAX 8,bif,Maximum,0.746263991
tdt,-1,1,-1,2.75098,TDN 10 1,tdt,1/10th Max,0.047052746
tdt,-1,1,-1,3.09899,TDN 10 2,tdt,1/10th Max,0.05024723
tdt,-1,1,-1,2.86645,TDN 10 3,tdt,1/10th Max,0.023072409
tdt,-1,1,-1,2.85984,TDN 10 4,tdt,1/10th Max,0.031934824
tdt,-1,1,-1,2.66383,TDN 10 5,tdt,1/10th Max,0.027603549
tdt,-1,1,-1,3.87295,TDN 10 6,tdt,1/10th Max,0.040578848
tdt,-1,1,-1,2.4581,TDN 10 7,tdt,1/10th Max,0.016853651
tdt,-1,1,-1,2.56272,TDN 10 8,tdt,1/10th Max,0.066918348
tdt,-1,1,-1,4.40605,TDN MAX 1,tdt,Maximum,0.453151778
tdt,-1,1,-1,2.64047,TDN MAX 2,tdt,Maximum,0.255930687
tdt,-1,1,-1,2.77718,TDN MAX 3,tdt,Maximum,0.255284255
tdt,-1,1,-1,3.25691,TDN MAX 4,tdt,Maximum,0.557583879
tdt,-1,1,-1,2.92225,TDN MAX 5,tdt,Maximum,0.244318558
tdt,-1,1,-1,3.75048,TDN MAX 6,tdt,Maximum,0.186175502
